# Type, Tone, (If not a delay: Target Tone Duration, Actual Tone Duration)
T, 587, 606.7413, 674.157
T, 554, 606.7413, 674.157
T, 493, 303.37065, 337.0785
T, 369, 303.37065, 337.0785
T, 369, 151.685325, 168.53925
T, 369, 151.685325, 168.53925
T, 369, 151.685325, 168.53925
T, 369, 151.685325, 168.53925
T, 369, 151.685325, 168.53925
T, 493, 151.685325, 168.53925
T, 493, 151.685325, 168.53925
T, 493, 151.685325, 168.53925
T, 493, 303.37065, 337.0785
T, 440, 151.685325, 168.53925
T, 493, 303.37065, 337.0785
T, 391, 341.29198125, 379.2133125
D, 126.4044375
T, 391, 151.685325, 168.53925
T, 391, 151.685325, 168.53925
T, 391, 151.685325, 168.53925
T, 391, 151.685325, 168.53925
T, 391, 151.685325, 168.53925
T, 493, 151.685325, 168.53925
T, 493, 151.685325, 168.53925
T, 493, 151.685325, 168.53925
T, 493, 303.37065, 337.0785
T, 554, 151.685325, 168.53925
T, 587, 303.37065, 337.0785
T, 440, 303.37065, 337.0785
D, 168.53925
T, 440, 151.685325, 168.53925
T, 440, 151.685325, 168.53925
T, 440, 151.685325, 168.53925
T, 440, 151.685325, 168.53925
T, 440, 151.685325, 168.53925
T, 587, 151.685325, 168.53925
T, 587, 151.685325, 168.53925
T, 587, 151.685325, 168.53925
T, 587, 303.37065, 337.0785
T, 659, 151.685325, 168.53925
T, 659, 303.37065, 337.0785
T, 554, 758.426625, 842.69625
D, 337.0785
T, 587, 606.7413, 674.157
T, 554, 606.7413, 674.157
T, 493, 303.37065, 337.0785
T, 369, 303.37065, 337.0785
T, 369, 151.685325, 168.53925
T, 369, 151.685325, 168.53925
T, 369, 151.685325, 168.53925
T, 369, 151.685325, 168.53925
T, 369, 151.685325, 168.53925
T, 493, 151.685325, 168.53925
T, 493, 151.685325, 168.53925
T, 493, 151.685325, 168.53925
T, 493, 303.37065, 337.0785
T, 440, 151.685325, 168.53925
T, 493, 303.37065, 337.0785
T, 391, 341.29198125, 379.2133125
D, 126.4044375
T, 391, 151.685325, 168.53925
T, 391, 151.685325, 168.53925
T, 391, 151.685325, 168.53925
T, 391, 151.685325, 168.53925
T, 391, 151.685325, 168.53925
T, 493, 151.685325, 168.53925
T, 493, 151.685325, 168.53925
T, 493, 151.685325, 168.53925
T, 493, 303.37065, 337.0785
T, 554, 151.685325, 168.53925
T, 587, 303.37065, 337.0785
T, 440, 303.37065, 337.0785
D, 168.53925
T, 440, 151.685325, 168.53925
T, 440, 151.685325, 168.53925
T, 440, 151.685325, 168.53925
T, 440, 151.685325, 168.53925
T, 440, 151.685325, 168.53925
T, 587, 151.685325, 168.53925
T, 587, 151.685325, 168.53925
T, 587, 151.685325, 168.53925
T, 587, 303.37065, 337.0785
T, 659, 151.685325, 168.53925
T, 659, 303.37065, 337.0785
T, 554, 455.055975, 505.61775
D, 2022.471
T, 739, 151.685325, 168.53925
T, 659, 151.685325, 168.53925
T, 739, 151.685325, 168.53925
T, 659, 151.685325, 168.53925
T, 739, 303.37065, 337.0785
T, 659, 151.685325, 168.53925
T, 739, 303.37065, 337.0785
T, 659, 151.685325, 168.53925
T, 739, 151.685325, 168.53925
T, 659, 151.685325, 168.53925
T, 739, 303.37065, 337.0785
T, 783, 151.685325, 168.53925
T, 783, 303.37065, 337.0785
T, 587, 455.055975, 505.61775
D, 505.61775
T, 587, 303.37065, 337.0785
T, 783, 151.685325, 168.53925
T, 783, 151.685325, 168.53925
T, 783, 227.5279875, 252.808875
D, 84.269625
T, 783, 151.685325, 168.53925
T, 880, 151.685325, 168.53925
T, 783, 303.37065, 337.0785
T, 739, 455.055975, 505.61775
D, 842.69625
T, 739, 151.685325, 168.53925
T, 739, 151.685325, 168.53925
T, 739, 303.37065, 337.0785
T, 880, 151.685325, 168.53925
T, 783, 151.685325, 168.53925
T, 739, 303.37065, 337.0785
T, 659, 455.055975, 505.61775
T, 329, 151.685325, 168.53925
T, 329, 151.685325, 168.53925
T, 329, 151.685325, 168.53925
T, 329, 151.685325, 168.53925
T, 329, 151.685325, 168.53925
T, 329, 151.685325, 168.53925
T, 329, 151.685325, 168.53925
T, 329, 151.685325, 168.53925
T, 277, 303.37065, 337.0785
T, 293, 303.37065, 337.0785
T, 739, 151.685325, 168.53925
T, 659, 151.685325, 168.53925
T, 739, 151.685325, 168.53925
T, 659, 151.685325, 168.53925
T, 739, 151.685325, 168.53925
T, 659, 151.685325, 168.53925
T, 739, 455.055975, 505.61775
T, 659, 151.685325, 168.53925
T, 739, 151.685325, 168.53925
T, 659, 151.685325, 168.53925
T, 739, 303.37065, 337.0785
T, 783, 151.685325, 168.53925
T, 783, 303.37065, 337.0785
T, 587, 455.055975, 505.61775
D, 505.61775
T, 587, 303.37065, 337.0785
T, 783, 151.685325, 168.53925
T, 783, 151.685325, 168.53925
T, 783, 151.685325, 168.53925
T, 783, 303.37065, 337.0785
T, 880, 151.685325, 168.53925
T, 783, 303.37065, 337.0785
T, 739, 455.055975, 505.61775
D, 842.69625
T, 739, 151.685325, 168.53925
T, 739, 151.685325, 168.53925
T, 739, 303.37065, 337.0785
T, 880, 151.685325, 168.53925
T, 783, 151.685325, 168.53925
T, 739, 303.37065, 337.0785
T, 659, 455.055975, 505.61775
